productId,sku,name,categoryId,ok,enriched,missingCount,missingIds,issueCodes,blockHints
"cmnwcq8vs002lvs4war8gk7up","ML-MLB3208604896","Lanterna Traseira Esquerda Ecosport 2004","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcq9o0002pvs4wqpaq11d6","ML-MLB3211987951","Lanterna Traseira Esquerda Strada 6004792","MLB22645","yes","3","0","","",""
"cmnwcqag8002tvs4wkonls1k3","ML-MLB3206806195","Lanterna Chery Tiggo Esquerda 2016 A 2022 Esquerdo Bicolor","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqb8f002xvs4wa9iht9pc","ML-MLB3208607782","Lanterna Lado Esquerdo Traseira Astra 1999 A 2001","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqc0k0031vs4wz1rol4nl","ML-MLB3229430003","Lanterna Traseira Lado Direito Volkswagen Paraty 90/96 Direito Tricolor","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwfccr40d9tvs4wi9vzqv4m","29859","Moldura Farol Milha Fiat Mobi 2017 Ld Original Preto Direito","MLB194704","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqdlh0039vs4wyl2y974z","ML-MLB3204037088","Farol Fox Direito Simples 05z1941006j Com Detalhe  Direito","MLB7863","yes","3","0","","",""
"cmnwcqehm003dvs4wivadpgga","ML-MLB3223230926","Lanterna Traseira Tampa Lado Esquerdo Fox Ano 2015/2019","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqf9x003hvs4wwsysa9zs","ML-MLB3229480898","Lanterna Traseira Direita Volkswagen Up 2014 A 2019 Esquerdo Bicolor","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqgu9003pvs4wb8qgx777","ML-MLB3211885139","Lanterna Traseira Direita Clio ","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqhml003tvs4whg37jlyv","ML-MLB3210847897","Lanterna Traseira Direita Vw Fox/crossfox 2015 2021","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqieq003xvs4wy70asx3s","ML-MLB3205979532","Farol Lado Esquerdo Toyota Etios Cód - 81150-9802 Esquerdo","MLB7863","yes","3","0","","",""
"cmnwcqj6r0041vs4w5m0g2af6","ML-MLB3210963854","Lanterna Traseira Fox Direito 2010 A 2014 Arteb Fumê","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqjyn0045vs4wn5g66ym9","ML-MLB3206135949","Farol Ford Ecosport Esquerdo Fume Com Detalhe Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqkqp0049vs4wzlpexaz3","ML-MLB3229165054","Lanterna Traseira Lado Direito Gm Sonic 2012/2015  Direito Bicolor","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqlit004dvs4wh1x6lpkh","ML-MLB3212100876","Lanterna Traseira Ford Ecosport Com Detalhe Ano 2013/2017 Direito Bicolor","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqmar004hvs4wes3rv51r","ML-MLB3190210816","Lanterna Traseira Direita Voyage G6  Importada  ","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqn2w004lvs4wu653vcbs","ML-MLB3193268275","Lanterna Traseira Hb20 Sedan Direito Original Usado","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqnv2004pvs4whtih2ji0","ML-MLB3193139183","Lanterna Traseira Hb20 Lado Esquerdo Cód - 9240115100 Esquerdo Vermelho","MLB22645","yes","3","0","","",""
"cmnwcqqbs0051vs4wb6tsd3wn","ML-MLB3190291173","Lanterna Traseira Direita Gol G5 2008 A 2012 Com Detalhe ","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqr430055vs4wphm7rb3e","ML-MLB3195863332","Lanterna Traseira Lado Direito Corsa Com Detalhes 2002/2005 Direito Fumê","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwfcdk40d9xvs4wxwpzs1l7","29852","Difusor Ar Painel (volkswagen) Gol G7 Lado Direito","MLB457755","no","1","2","PART_NUMBER|VEHICLE_TYPE","missing_attribute|missing_attribute","Preencha o Part Number da peça antes de publicar. || Preencha o campo Tipo de veículo antes de publicar."
"cmnwfceg80da1vs4wpqbekj6l","29860","Difusor Ar Painel Uno Fiat 94 A 05 Direito Original","MLB457755","no","1","2","PART_NUMBER|VEHICLE_TYPE","missing_attribute|missing_attribute","Preencha o Part Number da peça antes de publicar. || Preencha o campo Tipo de veículo antes de publicar."
"cmnwfcf8b0da5vs4wcnorqnly","29932","Motobomba Do Para Brisa Volkswagen Fox/golf A3/gol G5/polo Preto","MLB437827","no","1","2","PART_NUMBER|VEHICLE_TYPE","missing_attribute|missing_attribute","Preencha o Part Number da peça antes de publicar. || Preencha o campo Tipo de veículo antes de publicar."
"cmnwcqona004tvs4wgrlz84wu","ML-MLB3191256234","Lanterna Tampa Traseira Esquerda Hb20 Hatch  Esquerdo/motorista Vermelho E Transparente","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqpfn004xvs4wqf3pjbz8","ML-MLB3190234016","Lanterna Traseira Gol G5  2009 2012 Direito Original","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqrw80059vs4wlj11f2jb","ML-MLB3193399208","Lanterna Direita Celta 2006 A 2014 Com Detalhe Direito/passageiro Vermelho","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqsoc005dvs4w7400yx6j","ML-MLB3193851984","Lanterna Traseira Lado Direito Celta Ano 2001 Até 2007 Direito Vermelho","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqtgb005hvs4w7lqfzlcm","ML-MLB3191111531","Lanterna Tampa Traseira Esquerdo Hb20 Hatch","MLB191726","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqu8m005lvs4wwgildb6g","ML-MLB3198963455","Lanterna Traseira Direita Fiat Uno Vivace   2014/2018 Cód393 Direito/passageiro Fumê","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqv0x005pvs4w2oortonq","ML-MLB3193871375","Lantern Traseira Direita Corolla Com Detalhe Direito","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqvt5005tvs4wzugrazwx","ML-MLB3190242394","Lanterna Traseira Voyage G6 2013 A 2016 Lado Direito ","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqwl7005xvs4wh86qgtke","ML-MLB3191222198","Lanterna Tampa Traseira Direita Hb20 Hatch 92403-1s800","MLB191726","yes","3","0","","",""
"cmnwcqxde0061vs4wxcjkxpr1","ML-MLB3193483302","Lanterna Traseira Celta Com Detalhe 2006 Até 2017  Direito Fumê","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqy5j0065vs4wakjwb0wp","ML-MLB3193762783","Lanterna Traseira Celta Ano 2001 Até 2007 Cód - 93383662 Direito/passageiro Vermelho","MLB22645","yes","3","0","","",""
"cmnwcqyxm0069vs4wkgia7pmm","ML-MLB3190897096","Lanterna Traseira Hb20 Lado Direito  Direito Fumê","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcqzpr006dvs4whphheopz","ML-MLB3193834103","Lanterna Traseira Celta Com Detalhe Ano 2001 Até 2007  Direito Vermelho","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcr0ht006hvs4wmg3dbouw","ML-MLB3196065731","Lanterna Traseira Lado Esquerdo Hb20 Cód - 9240215100 Esquerdo Bicolor","MLB22645","yes","3","0","","",""
"cmnwfchog0dafvs4wox9xkksu","29945","Corpo Borboleta Tbi Renault Logan 1.0 16v Flex (usado)","MLB192357","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcr1a0006lvs4w0bnpdz8b","ML-MLB3193861509","Lanterna Traseira Chevrolet Cruze Hatch Peça Paralela  Direito Vermelho","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcr266006pvs4wyxxo52eo","ML-MLB3191317815","Lanterna Esquerda Voyage G6","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcr2yh006tvs4wasa379sp","ML-MLB3189061518","Lanterna Traseira Direita Voyage G6 2013 2016 2122721","MLB22645","yes","3","0","","",""
"cmnwcr3ql006xvs4w9qbm2uyq","ML-MLB3189013429","Lanterna Traseira Direita Uno Vivace 2014 A 2021 Usada","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcr8fh007lvs4wxn7xz6pe","ML-MLB3189078870","Lanterna Traseira Esquerda Uno Vivace 2010 A 2014","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcr4iu0071vs4wwwsdn2ga","ML-MLB3189102377","Lanterna Traseira Esquerda Uno Vivace 2010 A 2014 5202789","MLB22645","yes","3","0","","",""
"cmnwcr5az0075vs4wyqt41x8o","ML-MLB3189017995","Lanterna Traseira Direita Voyage G6 2013 2016 2122721","MLB22645","yes","3","0","","",""
"cmnwcr62x0079vs4wkk6v6gzu","ML-MLB3189004031","Lanterna Traseira Esquerda Uno Vivace Ano 2010 A 2014 Esquerdo Vermelho","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcr6v2007dvs4wxoshs6od","ML-MLB3188191818","Lanterna Traseira Direita Uno Vivace 2010 A 2014 5202788 Direito Vermelho","MLB22645","yes","3","0","","",""
"cmnwcr7nb007hvs4wpa0eza5v","ML-MLB3189087385","Lanterna Traseira Esquerda Uno Vivace 2014 Ate 2021","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcripj0091vs4wb0rhqced","ML-MLB3228776435","Lanterna Traseira Lado Direito Gm Corsa  94/2004 Direito Bicolor","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrjhk0095vs4wm6xz18lz","ML-MLB3254455552","Painel Instrumentos Fiat Argo 2020","MLB63548","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcr97i007pvs4w57q5o58a","ML-MLB3189085494","Lanterna Traseira Esquerda Uno Vivace 2014 Ate 2021","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcr9zr007tvs4wy2owa7ss","ML-MLB3188824630","Lanterna Traseira Esquerda Uno Vivace 2014 A 2021 520389770","MLB22645","yes","3","0","","",""
"cmnwcrarv007xvs4w3n5q5sdz","ML-MLB3191401087","Lanterna Traseira Direita Uno Vivace Cód - 5202788 Direito Fumê","MLB22645","yes","3","0","","",""
"cmnwcrbk40081vs4wmn7nxuh6","ML-MLB3188258749","Lanterna Traseira Direita Uno Vivace 2010 A 2014 5202788 Direito Vermelho","MLB22645","yes","3","0","","",""
"cmnwcrcc60085vs4wxiiba6ea","ML-MLB3188025512","Lanterna Traseira Fiat Uno Vivace 2018-cód 520389760 Direito Fumê","MLB22645","yes","3","0","","",""
"cmnwcrd4k0089vs4w93z9q73j","ML-MLB3188427630","Lanterna Fiat Uno Vivace 2014 2018 520389760 Esquerdo Branco","MLB22645","yes","3","0","","",""
"cmnwcre0q008dvs4w7vzb3eix","ML-MLB3188250372","Lanterna Traseira Esquerda Gol G6 Com Detalhe Usada","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcresn008hvs4wo9k06jrl","ML-MLB3188340812","Lanterna Traseira Direita Uno Vivace 2010 A 2014 5202788 Direito Vermelho","MLB22645","yes","3","0","","",""
"cmnwcrfkv008lvs4wu8m3gphd","ML-MLB3191328199","Lanterna Traseira Direita Ford Ka 2009","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrgcw008pvs4wnwe5xkgf","ML-MLB3254745048","Lanterna Dianteira Del Rey/corsel Lado Esquerdo 83/91 Esquerdo Vermelho","MLB22735","no","1","2","BRAND|PART_NUMBER","missing_attribute|missing_attribute","Preencha a marca do produto antes de publicar. || Preencha o Part Number da peça antes de publicar."
"cmnwcrh59008tvs4wd9egso9e","ML-MLB3239247824","Ford Mondeo Mk Ii 1998 Traseira Esquerda/tail Lights ","MLB114677","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrhxh008xvs4wdg1u4smc","ML-MLB3253892299","Farol Volkswagen Up 14/17 Lado Esquerdo  Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrk9q0099vs4w3joaczgm","ML-MLB3250422437","Farol Ford Escort 84/86 Lado Esquerdo Original  Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrl1w009dvs4wwlbm6i4j","ML-MLB3243691873","Retrovisor Direito Ford Mondeo 1998","MLB63846","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrpum00a1vs4wrskk0kaa","ML-MLB3243787763","Lanterna Dianteira Esquerda F250 F350  1999/2005 Cm Detalhe Laranja","MLB456155","no","1","2","PART_NUMBER|VEHICLE_TYPE","missing_attribute|missing_attribute","Preencha o Part Number da peça antes de publicar. || Preencha o campo Tipo de veículo antes de publicar."
"cmnwcrqmu00a5vs4wxjnfcych","ML-MLB3243211829","Grade Churrasqueira Dianteira Renault Kwid  Original ","MLB63736","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrlu3009hvs4wen9fgg50","ML-MLB3245593327","Circuito Lanterna Traseira Up / Lado Esquerdo / Original  Direito","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrmm6009lvs4w4jii2jtv","ML-MLB3245634839","Circuito Lanterna Traseira Up 2012 A 2018 / Lado Direito  Direito","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrne9009pvs4wuipnh043","ML-MLB3247408241","Farol Lado Direito Ford Ecosport Original 08/12 Com Detalhe Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcro63009tvs4wazx9kxks","ML-MLB3257231308","Chave De Seta Gol G8","MLB63463","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcroyf009xvs4w73ug2pnq","ML-MLB3254319201","Farol Fox 10//14 Lado Esquerdo Original Com Detalhe Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrtra00alvs4wk5q4zoxv","ML-MLB3243283275","Aplique Lateral Lado Esquerdo Ford Fiesta ","MLB6170","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcruj900apvs4w14consfl","ML-MLB3229126577","Lanterna Traseira Esquerda Jeep Renegade 2016 2020 ","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrrey00a9vs4wb46igkm4","ML-MLB3229116451","Lanterna Traseira Esquerda Sonic ","MLB22645","no","1","2","BRAND|PART_NUMBER","missing_attribute|missing_attribute","Preencha a marca do produto antes de publicar. || Preencha o Part Number da peça antes de publicar."
"cmnwcrs7400advs4wc1cox7ca","ML-MLB3279243114","Farol Ford Escort 84/86 Lado Esquerdo Original  Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrsz900ahvs4wdg5vid0h","ML-MLB3242413934","Lanterna Traseira Direita Ford Ka 2000","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrvb600atvs4w7w5zzq2w","ML-MLB3262587219","Farol Honda Hrv 16/17 Lado Esquerdo Original Com Detalhe  Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrw3800axvs4w49ithi0l","ML-MLB3311610730","Farol Etios Direito 2012 A 2019 Original Com Detalhe Direito","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrwvb00b1vs4wlvj3vcgd","ML-MLB3277956711","Farol Ford Ranger Esquerdo  2013 A 2016 Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrxn900b5vs4w628i567y","ML-MLB3272983229","Farol Gm Spin 15/18 Lado Esquerdo Com Detalhes  Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcryfh00b9vs4wyngu40y7","ML-MLB3389693410","Lanterna Tampa Fiat Freemon Lado Esquerdo  Esquerdo/motorista","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrz7p00bdvs4wmtvm27rk","ML-MLB3265913979","Farol Onix Esquerdo 2014 Com Detalhe  Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcrzzs00bhvs4wa72fkyai","ML-MLB3390516006","Farol Etios Direito Original Com Detalhe  Direito","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcs0s200blvs4w3bc4wkak","ML-MLB3389846360","Lanterna Tampa Fiat Freemon Lado Esquerdo  Esquerdo Bicolor","MLB22645","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcs1o400bpvs4wzmiuz6ox","ML-MLB3420440530","Lanterna Traseira Direita Fiat Mobi Bicolor","MLB63772","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcs2g700btvs4wgjn91qje","ML-MLB3256797787","Farol Fox 2015 Lado Direito Original Com Detalhe  Direito","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcs38e00bxvs4ws6np7ath","ML-MLB3258362285","Farol Vw Up 14/17 Lado Esquerdo  Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcs40u00c1vs4w90ix8yuj","ML-MLB3255807491","Farol Hr-v Lado Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcs4t300c5vs4wcbcow8j7","ML-MLB3255756473","Farol Sandero Lado Esquerdo Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcs5l600c9vs4wqptmae2d","ML-MLB3257393253","Farol Honda City 2014 Lado Esquerdo Com Detalhe  Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcs6dc00cdvs4wdff6iyw2","ML-MLB3265162037","Farol Onix/prisma Lado Direito Original Com Detalhe  Direito","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcs7xu00clvs4wcxtxlys8","ML-MLB3262171803","Farol Vw Fox 2015 Lado Esquerdo  Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcs8pw00cpvs4wfk7j04yy","ML-MLB3263732323","Farol Ford Ka 18/20 Lado Esquerdo  Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcs75o00chvs4w3wzx9flx","ML-MLB3308786456","Farol Esquerdo Hb20 2014 A 2019 Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcseb100dhvs4wrhqcexoa","ML-MLB3293059897","Sonda Lambda Ford Fiesta 2015 A 2018 F3b59f472aa","MLB192358","yes","3","0","","",""
"cmnwcsf3700dlvs4wkjmzzhkw","ML-MLB3285025545","Gargalo Tanque Combustível Escort 86 Original Usado","MLB270896","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcs9i100ctvs4w8pib89aa","ML-MLB3267323499","Farol Ecosport 2012 Lado Esquerdo Original Com Detalhe ","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcsaa400cxvs4wkizx94ro","ML-MLB3381541376","Farol Ecosport Esquerdo 2013 A 2017 Com Detalhes  Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcsb2800d1vs4wx6oea2se","ML-MLB3519275402","Maçaneta Interna Hyundai I30 ","MLB428983","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcsbug00d5vs4wpx40xjjf","ML-MLB3452240298","Lente P/lanterna Traseira Ford F-100/f 350/f-600 Vermelho","MLB63772","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
"cmnwcscmp00d9vs4wi2hqsye6","ML-MLB3435284174","Farol Ford Ecosport 2012 Lado Esquerdo  Esquerdo","MLB7863","no","2","1","PART_NUMBER","missing_attribute","Preencha o Part Number da peça antes de publicar."
