itemId,account,category,strategy,catalogProductId,tierH,tierW,tierL,tierWg,catH,catW,catL,catWg,h,w,l,weightG,source,skipReason,title,status
"MLB3208607782","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB45797022","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Lado Esquerdo Traseira Astra 1999 A 2001","ok"
"MLB3223230926","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB46109969","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Tampa Lado Esquerdo Fox Ano 2015/2019","ok"
"MLB3229480898","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB47840752","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Direita Volkswagen Up 2014 A 2019 Esquerdo Bicolor","ok"
"MLB3203755337","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Direito Fiat Uno Vivace 52039026 Esquerdo","ok"
"MLB3211885139","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Direita Clio ","ok"
"MLB3210847897","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Direita Vw Fox/crossfox 2015 2021","ok"
"MLB3205979532","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Lado Esquerdo Toyota Etios Cód - 81150-9802 Esquerdo","ok"
"MLB3210963854","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Fox Direito 2010 A 2014 Arteb Fumê","ok"
"MLB3229165054","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Lado Direito Gm Sonic 2012/2015  Direito Bicolor","ok"
"MLB3212100876","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Ford Ecosport Com Detalhe Ano 2013/2017 Direito Bicolor","ok"
"MLB3190210816","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Direita Voyage G6  Importada  ","ok"
"MLB3193268275","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB46126386","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Hb20 Sedan Direito Original Usado","ok"
"MLB3193139183","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Hb20 Lado Esquerdo Cód - 9240115100 Esquerdo Vermelho","ok"
"MLB3191256234","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Tampa Traseira Esquerda Hb20 Hatch  Esquerdo/motorista Vermelho E Transparente","ok"
"MLB3190234016","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Gol G5  2009 2012 Direito Original","ok"
"MLB3190291173","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB41047980","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Direita Gol G5 2008 A 2012 Com Detalhe ","ok"
"MLB3195863332","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Lado Direito Corsa Com Detalhes 2002/2005 Direito Fumê","ok"
"MLB3193399208","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Direita Celta 2006 A 2014 Com Detalhe Direito/passageiro Vermelho","ok"
"MLB3193851984","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Lado Direito Celta Ano 2001 Até 2007 Direito Vermelho","ok"
"MLB3191111531","JOTABÊ AUTOPEÇAS","MLB191726","push-tier","","30","70","100","18000","","","","","30","70","100","18000","kw:XXLARGE","","Lanterna Tampa Traseira Esquerdo Hb20 Hatch","ok"
"MLB3198963455","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Direita Fiat Uno Vivace   2014/2018 Cód393 Direito/passageiro Fumê","ok"
"MLB3193871375","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lantern Traseira Direita Corolla Com Detalhe Direito","ok"
"MLB3190242394","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Voyage G6 2013 A 2016 Lado Direito ","ok"
"MLB3191222198","JOTABÊ AUTOPEÇAS","MLB191726","push-tier","","30","70","100","18000","","","","","30","70","100","18000","kw:XXLARGE","","Lanterna Tampa Traseira Direita Hb20 Hatch 92403-1s800","ok"
"MLB3193483302","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Celta Com Detalhe 2006 Até 2017  Direito Fumê","ok"
"MLB3193762783","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Celta Ano 2001 Até 2007 Cód - 93383662 Direito/passageiro Vermelho","ok"
"MLB3190897096","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB46917961","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Hb20 Lado Direito  Direito Fumê","ok"
"MLB3193834103","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Celta Com Detalhe Ano 2001 Até 2007  Direito Vermelho","ok"
"MLB3196065731","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB46126384","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Lado Esquerdo Hb20 Cód - 9240215100 Esquerdo Bicolor","ok"
"MLB3193861509","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB64314566","30","40","50","5000","25","20","20","1","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Chevrolet Cruze Hatch Peça Paralela  Direito Vermelho","ok"
"MLB3191317815","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Esquerda Voyage G6","ok"
"MLB3189061518","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Direita Voyage G6 2013 2016 2122721","ok"
"MLB3189013429","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB51218694","30","40","50","5000","25","20","20","1000","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Direita Uno Vivace 2014 A 2021 Usada","ok"
"MLB3189017995","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB46946746","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Direita Voyage G6 2013 2016 2122721","ok"
"MLB3189004031","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB45958697","30","40","50","5000","30","30","30","900","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Esquerda Uno Vivace Ano 2010 A 2014 Esquerdo Vermelho","ok"
"MLB3188191818","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB45958697","30","40","50","5000","30","30","30","900","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Direita Uno Vivace 2010 A 2014 5202788 Direito Vermelho","ok"
"MLB3187800510","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB46106769","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Direita Uno Vivace 2014/2021 520389760 Direito Fumê","ok"
"MLB3191401087","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB45958686","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Direita Uno Vivace Cód - 5202788 Direito Fumê","ok"
"MLB3188258749","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB45958697","30","40","50","5000","30","30","30","900","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Direita Uno Vivace 2010 A 2014 5202788 Direito Vermelho","ok"
"MLB3188025512","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB46106769","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Fiat Uno Vivace 2018-cód 520389760 Direito Fumê","ok"
"MLB3188427630","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB46106769","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Fiat Uno Vivace 2014 2018 520389760 Esquerdo Branco","ok"
"MLB3188250372","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Esquerda Gol G6 Com Detalhe Usada","ok"
"MLB3188340812","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB45958697","30","40","50","5000","30","30","30","900","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Lanterna Traseira Direita Uno Vivace 2010 A 2014 5202788 Direito Vermelho","ok"
"MLB3191328199","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Direita Ford Ka 2009","ok"
"MLB3188879825","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Direita Uno Vivace 2014 Ate 2021 Usada Direito","ok"
"MLB3254745048","JOTABÊ AUTOPEÇAS","MLB22735","push-tier","","25","25","25","2000","","","","","25","25","25","2000","kw:MEDIUM","","Lanterna Dianteira Del Rey/corsel Lado Esquerdo 83/91 Esquerdo Vermelho","ok"
"MLB3239247824","JOTABÊ AUTOPEÇAS","MLB114677","push-tier","","15","15","15","600","","","","","15","15","15","600","fallback:SMALL","","Ford Mondeo Mk Ii 1998 Traseira Esquerda/tail Lights ","ok"
"MLB3253892299","JOTABÊ AUTOPEÇAS","MLB7863","push-with-catalog-floor","MLB39954709","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE+catFloor","","Farol Volkswagen Up 14/17 Lado Esquerdo  Esquerdo","ok"
"MLB3228776435","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Lado Direito Gm Corsa  94/2004 Direito Bicolor","ok"
"MLB3254455552","JOTABÊ AUTOPEÇAS","MLB63548","push-tier","","15","40","40","2000","","","","","15","40","40","2000","cat:MLB63548->MEDIUM_FLAT","","Painel Instrumentos Fiat Argo 2020","ok"
"MLB3245475513","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Direito Ford Escort 1993 A 1996 Direito","ok"
"MLB3250422437","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Ford Escort 84/86 Lado Esquerdo Original  Esquerdo","ok"
"MLB3243691873","JOTABÊ AUTOPEÇAS","MLB63846","push-tier","","15","15","15","600","","","","","15","15","15","600","cat:MLB63846->SMALL","","Retrovisor Direito Ford Mondeo 1998","ok"
"MLB3245593327","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB49521736","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Circuito Lanterna Traseira Up / Lado Esquerdo / Original  Direito","ok"
"MLB3245634839","JOTABÊ AUTOPEÇAS","MLB22645","push-with-catalog-floor","MLB49521736","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE+catFloor","","Circuito Lanterna Traseira Up 2012 A 2018 / Lado Direito  Direito","ok"
"MLB3247408241","JOTABÊ AUTOPEÇAS","MLB7863","push-with-catalog-floor","MLB43118385","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE+catFloor","","Farol Lado Direito Ford Ecosport Original 08/12 Com Detalhe Esquerdo","ok"
"MLB3254319201","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Fox 10//14 Lado Esquerdo Original Com Detalhe Esquerdo","ok"
"MLB3257231308","JOTABÊ AUTOPEÇAS","MLB63463","push-tier","","15","15","15","600","","","","","15","15","15","600","fallback:SMALL","","Chave De Seta Gol G8","ok"
"MLB3243787763","JOTABÊ AUTOPEÇAS","MLB456155","push-tier","","25","25","25","2000","","","","","25","25","25","2000","kw:MEDIUM","","Lanterna Dianteira Esquerda F250 F350  1999/2005 Cm Detalhe Laranja","ok"
"MLB3243211829","JOTABÊ AUTOPEÇAS","MLB63736","push-tier","","15","40","40","2000","","","","","15","40","40","2000","cat:MLB63736->MEDIUM_FLAT","","Grade Churrasqueira Dianteira Renault Kwid  Original ","ok"
"MLB3279243114","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Ford Escort 84/86 Lado Esquerdo Original  Esquerdo","ok"
"MLB3229116451","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Esquerda Sonic ","ok"
"MLB3242413934","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Direita Ford Ka 2000","ok"
"MLB3243283275","JOTABÊ AUTOPEÇAS","MLB6170","push-tier","","10","10","50","800","","","","","10","10","50","800","cat:MLB6170->SMALL_LONG","","Aplique Lateral Lado Esquerdo Ford Fiesta ","ok"
"MLB3262587219","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Honda Hrv 16/17 Lado Esquerdo Original Com Detalhe  Esquerdo","ok"
"MLB3229126577","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Traseira Esquerda Jeep Renegade 2016 2020 ","ok"
"MLB3311610730","JOTABÊ AUTOPEÇAS","MLB7863","push-with-catalog-floor","MLB53253238","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE+catFloor","","Farol Etios Direito 2012 A 2019 Original Com Detalhe Direito","ok"
"MLB3272983229","JOTABÊ AUTOPEÇAS","MLB7863","push-with-catalog-floor","MLB40796105","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE+catFloor","Erro ao atualizar item: Validation error (item.attribute.invalid.seller.package.dimensions: The packaging attributes [seller_package_height, seller_package_length] are too small for the product dimensions)","Farol Gm Spin 15/18 Lado Esquerdo Com Detalhes  Esquerdo","error"
"MLB3277956711","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Ford Ranger Esquerdo  2013 A 2016 Esquerdo","ok"
"MLB3265913979","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Onix Esquerdo 2014 Com Detalhe  Esquerdo","ok"
"MLB3389693410","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Tampa Fiat Freemon Lado Esquerdo  Esquerdo/motorista","ok"
"MLB3390516006","JOTABÊ AUTOPEÇAS","MLB7863","push-with-catalog-floor","MLB53253238","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE+catFloor","","Farol Etios Direito Original Com Detalhe  Direito","ok"
"MLB3389846360","JOTABÊ AUTOPEÇAS","MLB22645","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB22645->LARGE","","Lanterna Tampa Fiat Freemon Lado Esquerdo  Esquerdo Bicolor","ok"
"MLB3256797787","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Fox 2015 Lado Direito Original Com Detalhe  Direito","ok"
"MLB3420440530","JOTABÊ AUTOPEÇAS","MLB63772","push-tier","","25","25","25","2000","","","","","25","25","25","2000","kw:MEDIUM","","Lanterna Traseira Direita Fiat Mobi Bicolor","ok"
"MLB3255807491","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Hr-v Lado Esquerdo","ok"
"MLB3258362285","JOTABÊ AUTOPEÇAS","MLB7863","push-with-catalog-floor","MLB39954709","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE+catFloor","","Farol Vw Up 14/17 Lado Esquerdo  Esquerdo","ok"
"MLB3255756473","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Sandero Lado Esquerdo Esquerdo","ok"
"MLB3257393253","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Honda City 2014 Lado Esquerdo Com Detalhe  Esquerdo","ok"
"MLB3265162037","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Onix/prisma Lado Direito Original Com Detalhe  Direito","ok"
"MLB3308786456","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Esquerdo Hb20 2014 A 2019 Esquerdo","ok"
"MLB3262171803","JOTABÊ AUTOPEÇAS","MLB7863","push-with-catalog-floor","MLB66534212","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE+catFloor","","Farol Vw Fox 2015 Lado Esquerdo  Esquerdo","ok"
"MLB3263732323","JOTABÊ AUTOPEÇAS","MLB7863","push-with-catalog-floor","MLB49082667","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE+catFloor","","Farol Ford Ka 18/20 Lado Esquerdo  Esquerdo","ok"
"MLB3381541376","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Ecosport Esquerdo 2013 A 2017 Com Detalhes  Esquerdo","ok"
"MLB3267323499","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Ecosport 2012 Lado Esquerdo Original Com Detalhe ","ok"
"MLB3519275402","JOTABÊ AUTOPEÇAS","MLB428983","push-tier","","15","15","15","600","","","","","15","15","15","600","cat:MLB428983->SMALL","","Maçaneta Interna Hyundai I30 ","ok"
"MLB3452240298","JOTABÊ AUTOPEÇAS","MLB63772","push-tier","","25","25","25","2000","","","","","25","25","25","2000","kw:MEDIUM","","Lente P/lanterna Traseira Ford F-100/f 350/f-600 Vermelho","ok"
"MLB3435284174","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Ford Ecosport 2012 Lado Esquerdo  Esquerdo","ok"
"MLB3284358195","JOTABÊ AUTOPEÇAS","MLB63772","push-tier","","25","25","25","2000","","","","","25","25","25","2000","kw:MEDIUM","","Lente P/lanterna Traseira Ford F-100/f-250/f-600 Vermelho","ok"
"MLB3293059897","JOTABÊ AUTOPEÇAS","MLB192358","push-with-catalog-floor","MLB43190825","10","10","10","300","","","","","10","10","10","300","cat:MLB192358->TINY+catFloor","","Sonda Lambda Ford Fiesta 2015 A 2018 F3b59f472aa","ok"
"MLB3285025545","JOTABÊ AUTOPEÇAS","MLB270896","push-tier","","15","15","15","600","","","","","15","15","15","600","fallback:SMALL","","Gargalo Tanque Combustível Escort 86 Original Usado","ok"
"MLB3452183518","JOTABÊ AUTOPEÇAS","MLB63772","push-tier","","25","25","25","2000","","","","","25","25","25","2000","kw:MEDIUM","","Lente P/lanterna Ford F-100/f-350/f-600 Vermelho","ok"
"MLB3290658857","JOTABÊ AUTOPEÇAS","MLB428983","push-tier","","15","15","15","600","","","","","15","15","15","600","cat:MLB428983->SMALL","","Maçaneta Interna Fiesta/ecosport  Esquerda Preto","ok"
"MLB3455455078","JOTABÊ AUTOPEÇAS","MLB270896","push-tier","","15","15","15","600","","","","","15","15","15","600","fallback:SMALL","","Gargalo Tanque Combustível Escort 86 Original Usado","ok"
"MLB3286049817","JOTABÊ AUTOPEÇAS","MLB7863","push-tier","","30","40","50","5000","","","","","30","40","50","5000","cat:MLB7863->LARGE","","Farol Ford Ka Esquerdo Fume 2008 A 2013","ok"
"MLB3498029726","JOTABÊ AUTOPEÇAS","MLB269575","push-tier","","15","15","15","600","","","","","15","15","15","600","kw:SMALL","","Módulo Ventoinha Renegade Toro 00552682710","ok"
"MLB3284992285","JOTABÊ AUTOPEÇAS","MLB270896","push-tier","","15","15","15","600","","","","","15","15","15","600","fallback:SMALL","","Gargalo Tanque Combustível De Escort 86 Original Usado ","ok"
"MLB3505558854","JOTABÊ AUTOPEÇAS","MLB428983","push-tier","","15","15","15","600","","","","","15","15","15","600","cat:MLB428983->SMALL","","Maçaneta Interna Jac Motors J3 10/13","ok"
"MLB3285019653","JOTABÊ AUTOPEÇAS","MLB270896","push-tier","","15","15","15","600","","","","","15","15","15","600","fallback:SMALL","","Gargalo Tanque Combustível Escort 86 Original Usado","ok"
